WGS_ID,PEN,TET,SPCTINO,CFX,CRO,CIPRO,AZI,YEAR,ArrayExpress_Species,AssemblyName,AvgSpotLen,BioSample,Experiment,InsertSize,Instrument,Library_Name,LoadDate,MBases,MBytes,Organism,ReleaseDate,Run,SRA_Sample,Sample_Name,Assay_Type,BioProject,Center_Name,Consent,LibraryLayout,LibrarySelection,LibrarySource,Platform,SRA_Study
GCGS0012,1,0.5,1,0.06,0.06,0.015,0.25,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690458,ERX166430,236,Illumina HiSeq 2000,5652079,1/23/13,552,274,Neisseria gonorrhoeae,1/21/13,ERR191741,ERS135215,GCGS012-sc-2012-05-03T12:01:07Z-1410514,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0013,1,1,1,0.063,0.032,0.004,0.25,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690438,ERX328707,250,Illumina HiSeq 2000,7035203,10/18/13,384,221,Neisseria gonorrhoeae,10/24/13,ERR355924,ERS135539,GCGS013-sc-2012-05-03T12:11:12Z-1410515,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0014,2,1,1,0.06,0.06,0.015,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690510,ERX166432,236,Illumina HiSeq 2000,5652081,1/23/13,561,279,Neisseria gonorrhoeae,1/21/13,ERR191743,ERS135217,GCGS014-sc-2012-05-03T12:01:09Z-1410516,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0015,0.25,0.5,1,0.063,0.032,0.004,0.25,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690491,ERX328708,250,Illumina HiSeq 2000,7035215,10/18/13,331,192,Neisseria gonorrhoeae,10/24/13,ERR355925,ERS135218,GCGS015-sc-2012-05-03T12:01:09Z-1410517,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0016,2,0.5,1,0.06,0.06,0.015,0.25,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690326,ERX328709,250,Illumina HiSeq 2000,7035227,10/18/13,449,258,Neisseria gonorrhoeae,10/24/13,ERR355926,ERS135699,GCGS016-sc-2012-05-03T12:31:09Z-1410518,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0017,4,4,1,0.25,0.06,32,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690497,ERX166435,236,Illumina HiSeq 2000,5652084,1/23/13,682,338,Neisseria gonorrhoeae,1/21/13,ERR191746,ERS135220,GCGS017-sc-2012-05-03T12:01:11Z-1410519,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0018,0.25,1,1,0.015,0.008,0.015,8,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690333,ERX166436,236,Illumina HiSeq 2000,5652085,1/23/13,354,175,Neisseria gonorrhoeae,1/21/13,ERR191747,ERS135221,GCGS018-sc-2012-05-03T12:01:12Z-1410520,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0019,4,4,1,0.25,0.06,32,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690502,ERX166437,236,Illumina HiSeq 2000,5652086,1/23/13,442,221,Neisseria gonorrhoeae,1/21/13,ERR191748,ERS135541,GCGS019-sc-2012-05-03T12:11:14Z-1410521,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0020,1,0.5,1,0.015,0.008,2,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690352,ERX166438,236,Illumina HiSeq 2000,5652087,1/23/13,462,231,Neisseria gonorrhoeae,1/21/13,ERR191749,ERS135223,GCGS020-sc-2012-05-03T12:01:14Z-1410522,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0021,4,2,1,0.25,0.06,32,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690375,ERX166439,236,Illumina HiSeq 2000,5652088,1/23/13,748,369,Neisseria gonorrhoeae,1/21/13,ERR191750,ERS135224,GCGS021-sc-2012-05-03T12:01:15Z-1410523,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0022,4,4,1,0.06,0.06,16,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690477,ERX166440,236,Illumina HiSeq 2000,5652089,1/23/13,440,217,Neisseria gonorrhoeae,1/21/13,ERR191751,ERS135542,GCGS022-sc-2012-05-03T12:11:15Z-1410524,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0023,2,2,1,0.25,0.03,16,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690444,ERX166441,236,Illumina HiSeq 2000,5652090,1/23/13,591,291,Neisseria gonorrhoeae,1/21/13,ERR191752,ERS135226,GCGS023-sc-2012-05-03T12:01:17Z-1410525,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0024,16,16,1,0.06,0.06,4,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690431,ERX166442,236,Illumina HiSeq 2000,5652091,1/23/13,426,216,Neisseria gonorrhoeae,1/21/13,ERR191753,ERS135227,GCGS024-sc-2012-05-03T12:01:17Z-1410526,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0025,2,2,1,0.25,0.06,16,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA3165577,ERX934863,223,Illumina HiSeq 2000,12727789,1/17/16,496,250,Neisseria gonorrhoeae,4/15/15,ERR855225,ERS621689,09AZI_C_001-sc-2186742,WGS,PRJEB7904,THE WELLCOME TRUST SANGER INSTITUTE,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP008891
GCGS0026,8,4,1,0.06,0.06,16,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690504,ERX166444,236,Illumina HiSeq 2000,5652093,1/23/13,310,154,Neisseria gonorrhoeae,1/21/13,ERR191755,ERS135229,GCGS026-sc-2012-05-03T12:01:19Z-1410528,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0027,2,4,1,0.25,0.03,32,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690399,ERX166445,236,Illumina HiSeq 2000,5652094,1/23/13,298,148,Neisseria gonorrhoeae,1/21/13,ERR191756,ERS135230,GCGS027-sc-2012-05-03T12:01:20Z-1410529,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0028,0.5,2,1,0.015,0.008,8,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690423,ERX166446,236,Illumina HiSeq 2000,5652095,1/23/13,398,198,Neisseria gonorrhoeae,1/21/13,ERR191757,ERS135544,GCGS028-sc-2012-05-03T12:11:16Z-1410530,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0029,2,4,1,0.25,0.06,32,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA3165578,ERX934864,223,Illumina HiSeq 2000,12727801,1/17/16,502,255,Neisseria gonorrhoeae,4/15/15,ERR855226,ERS621690,09AZI_C_002-sc-2186743,WGS,PRJEB7904,THE WELLCOME TRUST SANGER INSTITUTE,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP008891
GCGS0030,0.5,2,1,0.015,0.008,8,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690360,ERX166448,236,Illumina HiSeq 2000,5652097,1/23/13,358,177,Neisseria gonorrhoeae,1/21/13,ERR191759,ERS135233,GCGS030-sc-2012-05-03T12:01:22Z-1410532,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0031,2,4,1,0.5,0.03,32,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690401,ERX166449,236,Illumina HiSeq 2000,5652098,1/23/13,375,186,Neisseria gonorrhoeae,1/21/13,ERR191760,ERS135545,GCGS031-sc-2012-05-03T12:11:17Z-1410533,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0032,4,2,1,0.03,0.03,16,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690485,ERX166450,236,Illumina HiSeq 2000,5652099,1/23/13,385,190,Neisseria gonorrhoeae,1/21/13,ERR191761,ERS135235,GCGS032-sc-2012-05-03T12:01:24Z-1410534,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0033,4,4,1,0.25,0.06,16,0.25,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690441,ERX166451,236,Illumina HiSeq 2000,5652100,1/23/13,362,183,Neisseria gonorrhoeae,1/21/13,ERR191762,ERS135236,GCGS033-sc-2012-05-03T12:01:25Z-1410535,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0034,2,2,1,0.06,0.06,32,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690317,ERX166452,236,Illumina HiSeq 2000,5652101,1/23/13,375,187,Neisseria gonorrhoeae,1/21/13,ERR191763,ERS135649,GCGS034-sc-2012-05-03T12:16:16Z-1410536,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0035,4,4,1,0.25,0.125,32,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690388,ERX166453,236,Illumina HiSeq 2000,5652102,1/23/13,1063,523,Neisseria gonorrhoeae,1/21/13,ERR191764,ERS135238,GCGS035-sc-2012-05-03T12:01:26Z-1410537,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0036,2,1,1,0.03,0.015,16,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690417,ERX166454,236,Illumina HiSeq 2000,5652103,1/23/13,811,403,Neisseria gonorrhoeae,1/21/13,ERR191765,ERS135239,GCGS036-sc-2012-05-03T12:01:27Z-1410538,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0037,2,4,1,0.5,0.125,32,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690348,ERX166455,236,Illumina HiSeq 2000,5652104,1/23/13,671,331,Neisseria gonorrhoeae,1/21/13,ERR191766,ERS135547,GCGS037-sc-2012-05-03T12:11:19Z-1410539,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0038,0.5,1,1,0.015,0.008,0.015,8,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690327,ERX166456,236,Illumina HiSeq 2000,5652105,1/23/13,349,172,Neisseria gonorrhoeae,1/21/13,ERR191767,ERS135241,GCGS038-sc-2012-05-03T12:01:29Z-1410540,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0039,4,4,1,0.25,0.125,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690361,ERX166457,236,Illumina HiSeq 2000,5652106,1/23/13,524,260,Neisseria gonorrhoeae,1/21/13,ERR191768,ERS135242,GCGS039-sc-2012-05-03T12:01:30Z-1410541,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0040,16,16,1,0.03,0.03,16,0.125,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690366,ERX166458,236,Illumina HiSeq 2000,5652107,1/23/13,349,174,Neisseria gonorrhoeae,1/21/13,ERR191769,ERS135548,GCGS040-sc-2012-05-03T12:11:20Z-1410542,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0041,4,4,1,0.25,0.125,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690371,ERX166459,236,Illumina HiSeq 2000,5652108,1/23/13,353,176,Neisseria gonorrhoeae,1/21/13,ERR191770,ERS135244,GCGS041-sc-2012-05-03T12:01:32Z-1410543,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0042,4,4,1,0.06,0.06,8,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690398,ERX166460,236,Illumina HiSeq 2000,5652109,1/23/13,335,167,Neisseria gonorrhoeae,1/21/13,ERR191771,ERS135245,GCGS042-sc-2012-05-03T12:01:33Z-1410544,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0043,4,2,1,0.25,0.06,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690351,ERX166461,236,Illumina HiSeq 2000,5652110,1/23/13,377,188,Neisseria gonorrhoeae,1/21/13,ERR191772,ERS135684,GCGS043-sc-2012-05-03T12:21:00Z-1410545,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0044,4,4,1,0.06,0.06,16,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690462,ERX166462,236,Illumina HiSeq 2000,5652111,1/23/13,484,240,Neisseria gonorrhoeae,1/21/13,ERR191773,ERS135247,GCGS044-sc-2012-05-03T12:01:34Z-1410546,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0045,2,2,1,0.25,0.06,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690482,ERX166463,236,Illumina HiSeq 2000,5652112,1/23/13,358,178,Neisseria gonorrhoeae,1/21/13,ERR191774,ERS135248,GCGS045-sc-2012-05-03T12:01:35Z-1410547,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0046,4,4,1,0.125,0.063,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690432,ERX166464,236,Illumina HiSeq 2000,5652113,1/23/13,361,179,Neisseria gonorrhoeae,1/21/13,ERR191775,ERS135550,GCGS046-sc-2012-05-03T12:11:21Z-1410548,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0047,4,4,1,0.25,0.06,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690340,ERX166465,236,Illumina HiSeq 2000,5652114,1/23/13,392,194,Neisseria gonorrhoeae,1/21/13,ERR191776,ERS135250,GCGS047-sc-2012-05-03T12:01:37Z-1410549,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0049,2,4,1,0.25,0.06,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690460,ERX166467,236,Illumina HiSeq 2000,5652116,1/23/13,590,292,Neisseria gonorrhoeae,1/21/13,ERR191778,ERS135551,GCGS049-sc-2012-05-03T12:11:22Z-1410551,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0050,0.25,0.25,1,0.015,0.008,0.015,0.03,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690453,ERX166468,236,Illumina HiSeq 2000,5652117,1/23/13,415,206,Neisseria gonorrhoeae,1/21/13,ERR191779,ERS135253,GCGS050-sc-2012-05-03T12:01:39Z-1410552,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0051,2,2,1,0.25,0.06,16,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690425,ERX166469,236,Illumina HiSeq 2000,5652118,1/23/13,365,183,Neisseria gonorrhoeae,1/21/13,ERR191780,ERS135254,GCGS051-sc-2012-05-03T12:01:40Z-1410553,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0052,2,2,1,0.03,0.06,8,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690506,ERX166470,236,Illumina HiSeq 2000,5652119,1/23/13,337,167,Neisseria gonorrhoeae,1/21/13,ERR191781,ERS135651,GCGS052-sc-2012-05-03T12:16:21Z-1410554,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0053,2,4,1,0.25,0.125,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690512,ERX166471,236,Illumina HiSeq 2000,5652120,1/23/13,357,177,Neisseria gonorrhoeae,1/21/13,ERR191782,ERS135256,GCGS053-sc-2012-05-03T12:01:42Z-1410555,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0054,2,4,1,0.06,0.06,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690476,ERX166472,236,Illumina HiSeq 2000,5652121,1/23/13,380,189,Neisseria gonorrhoeae,1/21/13,ERR191783,ERS135257,GCGS054-sc-2012-05-03T12:01:43Z-1410556,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0055,2,2,1,0.25,0.06,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690377,ERX166473,236,Illumina HiSeq 2000,5652122,1/23/13,443,223,Neisseria gonorrhoeae,1/21/13,ERR191784,ERS135553,GCGS055-sc-2012-05-03T12:11:24Z-1410557,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0056,2,2,1,0.06,0.06,8,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690420,ERX166474,236,Illumina HiSeq 2000,5652123,1/23/13,386,192,Neisseria gonorrhoeae,1/21/13,ERR191785,ERS135259,GCGS056-sc-2012-05-03T12:01:46Z-1410558,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0057,2,2,1,0.25,0.06,16,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690322,ERX166475,236,Illumina HiSeq 2000,5652124,1/23/13,783,395,Neisseria gonorrhoeae,1/21/13,ERR191786,ERS135260,GCGS057-sc-2012-05-03T12:01:47Z-1410559,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0058,2,2,1,0.03,0.03,16,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690397,ERX166476,236,Illumina HiSeq 2000,5652125,1/23/13,405,201,Neisseria gonorrhoeae,1/21/13,ERR191787,ERS135554,GCGS058-sc-2012-05-03T12:11:28Z-1410560,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0059,4,4,1,0.25,0.125,16,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690474,ERX166477,236,Illumina HiSeq 2000,5652126,1/23/13,382,188,Neisseria gonorrhoeae,1/21/13,ERR191788,ERS135262,GCGS059-sc-2012-05-03T12:01:48Z-1410561,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0060,4,2,1,0.06,0.06,8,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690456,ERX166478,236,Illumina HiSeq 2000,5652127,1/23/13,580,285,Neisseria gonorrhoeae,1/21/13,ERR191789,ERS135263,GCGS060-sc-2012-05-03T12:01:49Z-1410562,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0061,4,2,1,0.5,0.06,32,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA3165586,ERX934872,223,Illumina HiSeq 2000,12727802,1/17/16,516,263,Neisseria gonorrhoeae,4/15/15,ERR855234,ERS621698,09AZI_C_010-sc-2186751,WGS,PRJEB7904,THE WELLCOME TRUST SANGER INSTITUTE,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP008891
GCGS0062,0.5,1,1,0.015,0.015,4,0.25,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690395,ERX166480,236,Illumina HiSeq 2000,5652129,1/23/13,401,197,Neisseria gonorrhoeae,1/21/13,ERR191791,ERS135265,GCGS062-sc-2012-05-03T12:01:51Z-1410564,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0063,2,4,1,0.25,0.06,16,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690419,ERX166481,236,Illumina HiSeq 2000,5652130,1/23/13,417,206,Neisseria gonorrhoeae,1/21/13,ERR191792,ERS135266,GCGS063-sc-2012-05-03T12:01:52Z-1410565,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0064,4,32,1,0.06,0.03,0.015,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690363,ERX166482,236,Illumina HiSeq 2000,5652131,1/23/13,389,195,Neisseria gonorrhoeae,1/21/13,ERR191793,ERS135556,GCGS064-sc-2012-05-03T12:11:30Z-1410566,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0065,2,4,1,0.25,0.06,16,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690357,ERX166483,236,Illumina HiSeq 2000,5652132,1/23/13,337,168,Neisseria gonorrhoeae,1/21/13,ERR191794,ERS135268,GCGS065-sc-2012-05-03T12:01:53Z-1410567,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0066,1,4,1,0.015,0.008,8,1,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690323,ERX166484,236,Illumina HiSeq 2000,5652133,1/23/13,354,176,Neisseria gonorrhoeae,1/21/13,ERR191795,ERS135269,GCGS066-sc-2012-05-03T12:01:54Z-1410568,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
GCGS0067,4,2,1,0.25,0.125,16,0.5,2009,Neisseria gonorrhoeae,BioProject23,200,SAMEA1690449,ERX166485,236,Illumina HiSeq 2000,5652134,1/23/13,370,185,Neisseria gonorrhoeae,1/21/13,ERR191796,ERS135557,GCGS067-sc-2012-05-03T12:11:30Z-1410569,WGS,PRJEB2999,SC,public,PAIRED,RANDOM,GENOMIC,ILLUMINA,ERP001405
